created_at,date,time,username,name,place,tweet,language,mentions,urls,likes_count,retweet,hashtags,cashtags,retweets_count,link,thumbnail,near,retweet_id,reply_to,retweet_date,translate,retweet_date,translate
2020-01-27 00:59:51 Morocco Daylight Time,2020-01-27,00:59:51,lights_jd,JD Lights,,"Btw very proud of this son too, he'll be great teaching new trainers about type advantages #PokemonSwordShield #NintendoSwitch  https://t.co/cV6orSZ7IV",en,[],[],1,False,"['pokemonswordshield', 'nintendoswitch']",[],0,https://twitter.com/lights_jd/status/1221583560575868929,https://pbs.twimg.com/media/EPPvxjHU8AAlr2o.jpg,,,[],,,,
2020-01-27 00:59:51 Morocco Daylight Time,2020-01-27,00:59:51,stefanodigitale,ɨɩ  ʂʝɠɳʘʁ  ȘțǝƒǍȵȱ,,@Ruttosporc you'll never walk alone  https://t.co/SHUatnrdfh,en,[],[],25,False,[],[],4,https://twitter.com/stefanodigitale/status/1221583560525721602,https://pbs.twimg.com/media/EPPvxcoWsAENhqA.jpg,,,"[{'screen_name': 'Ruttosporc', 'name': 'Ruttosporc', 'id': '534853881'}]",,,,
2020-01-27 00:59:51 Morocco Daylight Time,2020-01-27,00:59:51,andymeyers17,Andy Meyers,,@JMDeMatteis Man that page! I’ll never forget how great it was (is).,en,[],[],1,False,[],[],0,https://twitter.com/andymeyers17/status/1221583559997165569,,,,"[{'screen_name': 'JMDeMatteis', 'name': 'J.M. DeMatteis', 'id': '299450805'}]",,,,
2020-01-27 00:59:51 Morocco Daylight Time,2020-01-27,00:59:51,wreckedbyralph,Matt,,"@justmanupAlan Literally didn't know this was a thing fella, let me know when and where and I'll tune in",en,[],[],1,False,[],[],0,https://twitter.com/WreckedByRalph/status/1221583559951032320,,,,"[{'screen_name': 'justmanupAlan', 'name': 'Alan', 'id': '1137700298'}]",,,,
2020-01-27 00:59:51 Morocco Daylight Time,2020-01-27,00:59:51,trieut,Trieu,,One of these days the Celtics will play a team and that team won't hit half of its threes. That'll be nice.,en,[],[],0,False,[],[],0,https://twitter.com/trieut/status/1221583559783321602,,,,[],,,,
2020-01-27 00:59:50 Morocco Daylight Time,2020-01-27,00:59:50,antonmakon,ANTON MAKON,,@ConnieJoJo2 @DAVID_LYNCH @PromoteHorror @AcidHorrors @StephenKing @MaggieHavoc @blackwell_1 @aerikvon @NomyLoveline @authortinam @axlbarnes @JaimeMortimer @BHMAuthor1 @KelonieU @JulieKusma @alaricpcabiling @broberg_susan @brysen_mann @KessilyLewel @EvilVVitchSure @taliesin_g @MovementWhere @masaccio28 @PorcheBerry1 @MissPancake9 @ReedsHorror Thanks. I'll tell you all about it in my tweets.,en,[],[],6,False,[],[],0,https://twitter.com/ANTONMAKON/status/1221583558420189184,,,,"[{'screen_name': 'ConnieJoJo2', 'name': 'Connie Satterfield', 'id': '757417554247815168'}, {'screen_name': 'DAVID_LYNCH', 'name': 'David Lynch', 'id': '15962096'}, {'screen_name': 'PromoteHorror', 'name': 'PromoteHorror', 'id': '332966388'}, {'screen_name': 'AcidHorrors', 'name': 'Acid Horrors', 'id': '4910245691'}, {'screen_name': 'StephenKing', 'name': 'Stephen King', 'id': '2233154425'}, {'screen_name': 'MaggieHavoc', 'name': 'Maggie Havoc', 'id': '1219811042353532928'}, {'screen_name': 'blackwell_1', 'name': 'sheila blackwell', 'id': '3078886863'}, {'screen_name': 'aerikvon', 'name': 'Aerik Von is making a horror movie...', 'id': '15114746'}, {'screen_name': 'NomyLoveline', 'name': 'Nomy Loveline▪Compte Officiel', 'id': '1111242576789757953'}, {'screen_name': 'axlbarnes', 'name': 'Axl Barnes', 'id': '2804241589'}, {'screen_name': 'JaimeMortimer', 'name': 'Jerusalem BLM Mortimer', 'id': '2808990266'}, {'screen_name': 'KelonieU', 'name': 'Kelonie U', 'id': '1194300723242115073'}, {'screen_name': 'JulieKusma', 'name': 'Queen of Horror', 'id': '475412732'}, {'screen_name': 'alaricpcabiling', 'name': 'Alaric Cabiling', 'id': '1188981713898065922'}, {'screen_name': 'broberg_susan', 'name': 'Susan Broberg', 'id': '1218085216390144005'}, {'screen_name': 'brysen_mann', 'name': 'Brysen Mann', 'id': '918242160037675008'}, {'screen_name': 'KessilyLewel', 'name': 'Kessily Lewel', 'id': '858095715175845888'}, {'screen_name': 'EvilVVitchSure', 'name': 'EvilVVitchSure', 'id': '1151243986465710081'}, {'screen_name': 'taliesin_g', 'name': 'Taliesin Govannon', 'id': '24936657'}, {'screen_name': 'masaccio28', 'name': 'john j gorman', 'id': '400455684'}, {'screen_name': 'PorcheBerry1', 'name': 'ℙ𝕠𝕣𝕔𝕙𝕖 𝔹𝕖𝕣𝕣𝕪, 𝔸𝕦𝕥𝕙𝕠𝕣', 'id': '1013165416019984384'}, {'screen_name': 'ReedsHorror', 'name': 'Horror Author Reed Alexander', 'id': '1013237847451684865'}]",,,,
2020-01-27 00:59:50 Morocco Daylight Time,2020-01-27,00:59:50,errantelf,Michèle⁷,,"@JungShadow1 When you hit reply, click on the names at the top where it says ""replying to"" then you'll get a page with a list where you can deselect everyone you want to untag.😘",en,[],[],0,False,[],[],0,https://twitter.com/errantelf/status/1221583558009085953,,,,"[{'screen_name': 'JungShadow1', 'name': 'ᴮᴱEmile⁷☭', 'id': '1220951719590420481'}]",,,,
2020-01-27 00:59:50 Morocco Daylight Time,2020-01-27,00:59:50,ferranco_noriel,Noriel,,You’ll live forever in our hearts.,en,[],[],2,False,[],[],0,https://twitter.com/ferranco_noriel/status/1221583557715316736,,,,[],,,,
2020-01-27 00:59:50 Morocco Daylight Time,2020-01-27,00:59:50,quack_yeon,곽곽연,,@hoshierthanthou i still believe you'll do great &lt;3,en,[],[],0,False,[],[],0,https://twitter.com/quack_yeon/status/1221583557702955008,,,,"[{'screen_name': 'hoshierthanthou', 'name': 'Annika | deactivated', 'id': '719956813123358721'}]",,,,
2020-01-27 00:59:50 Morocco Daylight Time,2020-01-27,00:59:50,divin3d,All-Star✨☀️,,@KingJames you're amazing man! I can only imagine how you're feeling.  I'll never discredit your greatness again. Hope you're well,en,[],[],5,False,[],[],0,https://twitter.com/Divin3d/status/1221583557577052163,,,,[],,,,
2020-01-27 00:59:50 Morocco Daylight Time,2020-01-27,00:59:50,habibahenawy,H A B I B A ✨,,have you ever cried because of this?   1. Yes 2. Yes 3. Yes 4. Yes 5. Yes  6. Yes  7. No 8. Yes 9. Yes 10. No  reply with an emoji and i'll dm you the questions,en,[],[],0,False,[],[],0,https://twitter.com/HabibaHenawy/status/1221583556776022022,,,,[],,,,
2020-01-27 00:59:50 Morocco Daylight Time,2020-01-27,00:59:50,ibn_ll,﮼ابن ﮼مطٓــلق ْ. 🇸🇦🕊,,الانتظار مدينهه مهجورهه يسكنهآ الالمَ ✧༉,ar,[],[],1,False,[],[],0,https://twitter.com/ibn_ll/status/1221583554926260224,,,,[],,,,
